key,en,fr
A new version is available:,A new version is available:,Une nouvelle version est disponible:
About,About,À propos
About Chip Tray Extractor,About Chip Tray Extractor,À propos de l’extracteur de plateaux d’échantillons
Activate OCR,Activate OCR,Activer l'OCR
All compartments have been reviewed. You can now approve or reject all.,All compartments have been reviewed. You can now approve or reject all.,Tous les compartiments ont été examinés. Vous pouvez maintenant les approuver ou les rejeter.
All files,All files,Tous les fichiers
All holes already have trace images.,All holes already have trace images.,Toutes les forages disposent déjà d’images de trace.
All missing compartments have been annotated. Click 'Done' to finish.,All missing compartments have been annotated. Click 'Done' to finish.,"Tous les compartiments manquants ont été annotés. Cliquez sur ""Terminé"" pour finir."
All progress will be lost and remaining trays will be skipped.,All progress will be lost and remaining trays will be skipped.,Tout le progrès sera perdu et les plateaux restants seront ignorés.
All trays have been reviewed.,All trays have been reviewed.,Tous les plateaux ont été examinés.
Analyzing image sharpness...,Analyzing image sharpness...,Analyse de la netteté de l’image...
Annotation complete. Click 'Done' to finish.,Annotation complete. Click 'Done' to finish.,"Annotation terminée. Cliquez sur ""Terminé"" pour finir."
Application language has been changed to,Application language has been changed to,La langue de l'application a été changée en
Apply Metadata Changes,Apply Metadata Changes,Appliquer les modifications de métadonnées
Apply Path Settings,Apply Path Settings,Appliquer les paramètres de chemin
Approved By,Approved By,Approuvé par
Approved Compartment Images,Approved Compartment Images,Images de compartiment approuvées
Approved Date,Approved Date,Date d’approbation
Approved Folder:,Approved Folder:,Dossier approuvé:
Are you sure you want to reject this tray? ,Are you sure you want to reject this tray? ,Êtes-vous sûr de vouloir rejeter ce plateau ? 
ArUco Markers,ArUco Markers,Marqueurs ArUco
Blur Analysis,Blur Analysis,Analyse de flou
Blur Detection,Blur Detection,Détection de flou
Blur Detection Help,Blur Detection Help,Aide à la détection de flou
Blur Threshold:,Blur Threshold:,Seuil de flou:
BLURRY,BLURRY,FLOU
Blurry (Poor) Images,Blurry (Poor) Images,Images floues (mauvaises)
Browse,Browse,Parcourir
Calibrate,Calibrate,Calibrer
Calibrate Blur Detection,Calibrate Blur Detection,Calibrer la détection de flou
Calibration Results,Calibration Results,Résultats de la calibration
Cancel,Cancel,Annuler
Cannot add to review queue: missing or incomplete metadata,Cannot add to review queue: missing or incomplete metadata,Impossible d’ajouter à la file de révision: métadonnées manquantes ou incomplètes
Cannot place compartment here - would overlap with existing compartment,Cannot place compartment here - would overlap with existing compartment,Impossible de placer un compartiment à cet endroit - il se superposerait à un compartiment existant
Check for Updates,Check for Updates,Vérifier les mises à jour
Checking for metadata...,Checking for metadata...,Vérification des métadonnées...
Chip Compartments,Chip Compartments,Compartiments de puce
Chip Tray Extraction Process,Chip Tray Extraction Process,Processus d’extraction du plateau
Chip Tray Extractor,Chip Tray Extractor,Extracteur de plateau d’échantillons
Chip Tray Photos,Chip Tray Photos,Photos de plateaux
Click to place compartment #0,Click to place compartment #0,Cliquez pour placer le compartiment #0
Click to place compartment #1,Click to place compartment #1,Cliquez pour placer le compartiment #1
Click to place compartment #10,Click to place compartment #10,Cliquez pour placer le compartiment #10
Click to place compartment #11,Click to place compartment #11,Cliquez pour placer le compartiment #11
Click to place compartment #12,Click to place compartment #12,Cliquez pour placer le compartiment #12
Click to place compartment #13,Click to place compartment #13,Cliquez pour placer le compartiment #13
Click to place compartment #14,Click to place compartment #14,Cliquez pour placer le compartiment #14
Click to place compartment #15,Click to place compartment #15,Cliquez pour placer le compartiment #15
Click to place compartment #16,Click to place compartment #16,Cliquez pour placer le compartiment #16
Click to place compartment #17,Click to place compartment #17,Cliquez pour placer le compartiment #17
Click to place compartment #18,Click to place compartment #18,Cliquez pour placer le compartiment #18
Click to place compartment #19,Click to place compartment #19,Cliquez pour placer le compartiment #19
Click to place compartment #2,Click to place compartment #2,Cliquez pour placer le compartiment #2
Click to place compartment #20,Click to place compartment #20,Cliquez pour placer le compartiment #20
Click to place compartment #3,Click to place compartment #3,Cliquez pour placer le compartiment #3
Click to place compartment #4,Click to place compartment #4,Cliquez pour placer le compartiment #4
Click to place compartment #5,Click to place compartment #5,Cliquez pour placer le compartiment #5
Click to place compartment #6,Click to place compartment #6,Cliquez pour placer le compartiment #6
Click to place compartment #7,Click to place compartment #7,Cliquez pour placer le compartiment #7
Click to place compartment #8,Click to place compartment #8,Cliquez pour placer le compartiment #8
Click to place compartment #9,Click to place compartment #9,Cliquez pour placer le compartiment #9
Close,Close,Fermer
Close the application.,Close the application.,Fermer l’application.
Compartment Boundaries,Compartment Boundaries,Limites du compartiment
